word	lemma	pos
Verhaal	verhalen	VRB(finiteness=fin,tense=pres)
De	de	PD(type=d-p,subtype=art,position=prenom)
Gids	gids	NOU-C(number=sg)
Het	het	PD(type=d-p,subtype=art,position=prenom)
vinger-klem-incident	vingerklemincident	NOU-C(number=sg)
Ze	zij	PD(type=pers,position=free)
houdt	houden	VRB(finiteness=fin,tense=pres)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
zon	zon	NOU-C(number=sg)
,	None	PC
maar	maar	CONJ(type=coor)
niet	niet	ADV(type=reg)
van	van	ADP(type=pre)
deze	deze	PD(type=d-p,position=free)
.	None	PC
Deze	deze	PD(type=d-p,position=free)
is	zijn	VRB(finiteness=fin,tense=pres)
te	te	ADV(type=reg)
heet	heet	AA(degree=pos,position=free)
.	None	PC
Ze	zij	PD(type=pers,position=free)
fronst	fronsen	VRB(finiteness=fin,tense=pres)
naar	naar	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
zonnende	zonnen	AA(degree=pos,position=prenom)
vrouw	vrouw	NOU-C(number=sg)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
kleine	klein	AA(degree=pos,position=prenom)
bikini	bikini	NOU-C(number=sg)
,	None	PC
die	die	PD(type=d-p,position=free)
zich	zich	PD(type=refl,position=free)
net	net	AA(degree=pos,position=free)
loom	loom	AA(degree=pos,position=free)
heeft	hebben	VRB(finiteness=fin,tense=pres)
opgericht	oprichten	VRB(finiteness=pastpart)
om	om	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
kleur	kleur	NOU-C(number=sg)
van	van	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
buik	buik	NOU-C(number=sg)
te	te	ADP(type=pre)
inspecteren	inspecteren	VRB(finiteness=inf)
.	None	PC
Ze	zij	PD(type=pers,position=free)
ligt	liggen	VRB(finiteness=fin,tense=pres)
niet	niet	ADV(type=reg)
onder	onder	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
overhangende	overhangend	AA(degree=pos,position=prenom)
bomen	boom	NOU-C(number=pl)
tussen	tussen	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
smalle	smal	AA(degree=pos,position=prenom)
strand	strand	NOU-C(number=sg)
en	en	CONJ(type=coor)
de	de	PD(type=d-p,subtype=art,position=prenom)
weg	weg	NOU-C(number=sg)
,	None	PC
terwijl	terwijl	CONJ(type=sub)
daar	daar	ADV(type=reg)
toch	toch	ADV(type=reg)
voldoende	voldoende	AA(degree=pos,position=prenom)
schaduw	schaduw	NOU-C(number=sg)
is	zijn	VRB(finiteness=fin,tense=pres)
.	None	PC
De	de	PD(type=d-p,subtype=art,position=prenom)
man	man	NOU-C(number=sg)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
zonnende	zonnen	AA(degree=pos,position=prenom)
vrouw	vrouw	NOU-C(number=sg)
staat	staan	VRB(finiteness=fin,tense=pres)
al	al	ADV(type=reg)
een	een	PD(type=indef,subtype=art,position=prenom)
tijd	tijd	NOU-C(number=sg)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
branding	branding	NOU-C(number=sg)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
verte	verte	NOU-C(number=sg)
te	te	ADP(type=pre)
staren	staren	VRB(finiteness=inf)
.	None	PC
Hij	hij	PD(type=pers,position=free)
heeft	hebben	VRB(finiteness=fin,tense=pres)
de	de	PD(type=d-p,subtype=art,position=prenom)
vorm	vorm	NOU-C(number=sg)
van	van	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
gorilla	gorilla	NOU-C(number=sg)
:	None	PC
dikke	dik	AA(degree=pos,position=prenom)
buik	buik	NOU-C(number=sg)
,	None	PC
holle	hol	AA(degree=pos,position=prenom)
rug	rug	NOU-C(number=sg)
,	None	PC
korte	kort	AA(degree=pos,position=prenom)
benen	been	NOU-C(number=pl)
en	en	CONJ(type=coor)
lange	lang	AA(degree=pos,position=prenom)
armen	arm	NOU-C(number=pl)
.	None	PC
Mijn	mijn	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
heeft	hebben	VRB(finiteness=fin,tense=pres)
ook	ook	ADV(type=reg)
een	een	PD(type=indef,subtype=art,position=prenom)
dikke	dik	AA(degree=pos,position=prenom)
buik	buik	NOU-C(number=sg)
,	None	PC
denkt	denken	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
,	None	PC
maar	maar	CONJ(type=coor)
een	een	PD(type=indef,subtype=art,position=prenom)
rechte	recht	AA(degree=pos,position=prenom)
rug	rug	NOU-C(number=sg)
en	en	CONJ(type=coor)
lange	lang	AA(degree=pos,position=prenom)
benen	been	NOU-C(number=pl)
.	None	PC
Mijn	mijn	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
is	zijn	VRB(finiteness=fin,tense=pres)
geen	geen	PD(type=indef,subtype=oth,position=prenom)
gorilla	gorilla	NOU-C(number=sg)
.	None	PC
En	en	CONJ(type=coor)
hij	hij	PD(type=pers,position=free)
draagt	dragen	VRB(finiteness=fin,tense=pres)
een	een	PD(type=indef,subtype=art,position=prenom)
overhemd	overhemd	NOU-C(number=sg)
.	None	PC
Miranda	Miranda	NOU-P
July	July	NOU-P
postte	posten	VRB(finiteness=fin,tense=past)
vanmorgen	vanmorgen	ADV(type=reg)
een	een	PD(type=indef,subtype=art,position=prenom)
filmpje	filmpje	NOU-C(number=sg)
op	op	ADP(type=pre)
Instagram	instagram	NOU-C(number=sg)
waarin	waarin	ADV(type=pron)
ze	zij	PD(type=pers,position=free)
wild	wild	AA(degree=pos,position=free)
door	door	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
gang	gang	NOU-C(number=sg)
danst	dansen	VRB(finiteness=fin,tense=pres)
in	in	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
panty	panty	NOU-C(number=sg)
en	en	CONJ(type=coor)
Mickey	Mickey	NOU-P
Mouse-shirt	mousenshirt	NOU-C(number=sg)
.	None	PC
July	July	NOU-P
schrijft	schrijven	VRB(finiteness=fin,tense=pres)
geestige	geestig	AA(degree=pos,position=prenom)
en	en	CONJ(type=coor)
indringende	indringend	AA(degree=pos,position=prenom)
korte	kort	AA(degree=pos,position=prenom)
verhalen	verhaal	NOU-C(number=pl)
,	None	PC
maar	maar	CONJ(type=coor)
haar	haar	PD(type=poss,position=prenom)
lichaam	lichaam	NOU-C(number=sg)
is	zijn	VRB(finiteness=fin,tense=pres)
irritant	irritant	AA(degree=pos,position=free)
.	None	PC
Het	het	PD(type=pers,position=free)
zijn	zijn	VRB(finiteness=fin,tense=pres)
de	de	PD(type=d-p,subtype=art,position=prenom)
holle	hol	AA(degree=pos,position=prenom)
rug	rug	NOU-C(number=sg)
en	en	CONJ(type=coor)
korte	kort	AA(degree=pos,position=prenom)
benen	been	NOU-C(number=pl)
.	None	PC
Die	die	PD(type=d-p,subtype=oth,position=prenom)
combinatie	combinatie	NOU-C(number=sg)
maakt	maken	VRB(finiteness=fin,tense=pres)
haar	haar	PD(type=poss,position=prenom)
kwaad	kwaad	NOU-C(number=sg)
.	None	PC
De	de	PD(type=d-p,subtype=art,position=prenom)
gorillaman	gorillaman	NOU-C(number=sg)
maakt	maken	VRB(finiteness=fin,tense=pres)
haar	haar	PD(type=pers,position=free)
kwaad	kwaad	NOU-C(number=sg)
,	None	PC
de	de	PD(type=d-p,subtype=art,position=prenom)
zwetende	zweten	AA(degree=pos,position=prenom)
zonnende	zonnen	AA(degree=pos,position=prenom)
vrouw	vrouw	NOU-C(number=sg)
die	die	PD(type=d-p,position=free)
de	de	PD(type=d-p,subtype=art,position=prenom)
hitte	hitte	NOU-C(number=sg)
doorstaat	doorstaan	VRB(finiteness=fin,tense=pres)
voor	voor	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
rimpelige	rimpelig	AA(degree=pos,position=prenom)
bruine	bruin	AA(degree=pos,position=prenom)
huid	huid	NOU-C(number=sg)
met	met	ADP(type=pre)
kanker	kanker	NOU-C(number=sg)
.	None	PC
Kom	komen	VRB(finiteness=fin,tense=pres)
,	None	PC
zegt	zeggen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
tegen	tegen	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
zoon	zoon	NOU-C(number=sg)
,	None	PC
die	die	PD(type=d-p,position=free)
met	met	ADP(type=pre)
zijn	zijn	PD(type=poss,position=prenom)
wijsvinger	wijsvinger	NOU-C(number=sg)
strepen	streep	NOU-C(number=pl)
trekt	trekken	VRB(finiteness=fin,tense=pres)
in	in	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
zand	zand	NOU-C(number=sg)
.	None	PC
Hij	hij	PD(type=pers,position=free)
tekent	tekenen	VRB(finiteness=fin,tense=pres)
een	een	PD(type=indef,subtype=art,position=prenom)
kasteel	kasteel	NOU-C(number=sg)
.	None	PC
Het	het	PD(type=d-p,subtype=art,position=prenom)
kasteel	kasteel	NOU-C(number=sg)
is	zijn	VRB(finiteness=fin,tense=pres)
gesloten	sluiten	VRB(finiteness=pastpart)
,	None	PC
zegt	zeggen	VRB(finiteness=fin,tense=pres)
hij	hij	PD(type=pers,position=free)
.	None	PC
Goed	goed	AA(degree=pos,position=free)
zo	zo	ADV(type=reg)
.	None	PC
Want	want	CONJ(type=coor)
je	jij	PD(type=pers,position=free)
wilde	willen	VRB(finiteness=fin,tense=past)
toch	toch	ADV(type=reg)
op	op	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
waterfiets	waterfiets	NOU-C(number=sg)
?	None	PC
Ik	ik	PD(type=pers,position=free)
ga	gaan	VRB(finiteness=fin,tense=pres)
wel	wel	ADV(type=reg)
met	met	ADP(type=pre)
hem	hij	PD(type=pers,position=free)
,	None	PC
had	hebben	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
die	die	PD(type=d-p,subtype=oth,position=prenom)
ochtend	ochtend	NOU-C(number=sg)
tegen	tegen	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
gezegd	zeggen	VRB(finiteness=pastpart)
.	None	PC
Gaan	gaan	VRB(finiteness=fin,tense=pres)
jullie	jullie	PD(type=pers,position=free)
maar	maar	ADV(type=reg)
naar	naar	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
markt	markt	NOU-C(number=sg)
.	None	PC
Vanavond	vanavond	ADV(type=reg)
zullen	zullen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
vis	vis	NOU-C(number=sg)
grillen	grillen	VRB(finiteness=inf)
op	op	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
barbecue	barbecue	NOU-C(number=sg)
bij	bij	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
familiehuis	familiehuis	NOU-C(number=sg)
van	van	ADP(type=pre)
hun	hun	PD(type=poss,position=prenom)
vrienden	vriend	NOU-C(number=pl)
,	None	PC
die	die	PD(type=d-p,position=free)
een	een	PD(type=indef,subtype=art,position=prenom)
zoon	zoon	NOU-C(number=sg)
van	van	ADP(type=pre)
dezelfde	dezelfde	PD(type=d-p,subtype=oth,position=prenom)
leeftijd	leeftijd	NOU-C(number=sg)
hebben	hebben	VRB(finiteness=fin,tense=pres)
.	None	PC
De	de	PD(type=d-p,subtype=art,position=prenom)
zoon	zoon	NOU-C(number=sg)
wilde	meewillen	VRB(finiteness=fin,tense=past)
mee	meewillen	VRB(finiteness=fin,tense=past)
naar	naar	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
markt	markt	NOU-C(number=sg)
omdat	omdat	CONJ(type=sub)
hij	hij	PD(type=pers,position=free)
wist	weten	VRB(finiteness=fin,tense=past)
welke	welk	PD(type=w-p,position=prenom)
vis	vis	NOU-C(number=sg)
